年份,企业名称,行业类型,年度产值(万元),年度营业收入(万元),年度利润(万元),年度税收(万元),年度研发经费投入(万元),年度研发经费投入比增(%),年度技术合同数,年度技术合同交易额(万元),年度高新技术产品收入(万元)
2020,龙岩市海诚信息科技有限公司,电子信息,8.3,8.3,-1.01,0.14,0.6,12,0,0,5.3
2020,龙岩市启创自动化设备有限公司,电子信息,30.63,30.63,-0.77,0.12,5.9,0,0,0,0
2020,龙岩丽荣电子科技有限公司,电子信息,0,1.94,-0.4,0,0,0,0,0,0
2020,福建全道科技有限责任公司,互联网、软件及电子商务,9.69,9.69,-2.6,0.01,1,10,1,1,0.9
2020,福建福科环保科技有限公司,智能环保,53,24,-0.8,0,7.6,12,0,0,24
2020,福建汇天软件科技有限公司,互联网、软件及电子商务,124.24,124.24,10.97,1.31,19.64,5.38,3,124.24,124.24
2020,福建杰达环保科技有限公司,智能环保,7.79,7.79,-10.45,0,7.96,422.69,0,0,7.79
2020,易之泰生物科技（龙岩）有限公司,生物科技,70,65,42,0,25,7,0,0,42
2020,福建龙生生物科技有限公司,生物医药,73.3,85.62,22.96,12.17,14.22,-31.5,0,0,81.63
2020,龙岩市白云环保科技有限公司,智能环保,0,0,-1.6,0,0,0,0,0,0
2020,龙岩市瑞泽环保科技有限公司,智能环保,25.55,25.55,-3.97,0.07,10.65,90.5,0,0,4.19
2020,福建龙植生物科技有限公司,生物科技,21.92,55.36,-81.22,0,9.15,-40.5,5,20.77,55.36
2020,福建龙芯北斗科技发展有限公司,其它,37168.13,37168.13,192171.9,0,193057.25,0,0,0,0
2020,福建高瓴电子有限公司,智能制造、先进制造,0.82,0.96,-16.35,0.01,4.46,56.82,0,0,0.96
2020,福建龙新三维阵列科技有限公司,新材料,30.8,12.59,-5.43,0,10.18,6,0,0,12.59
2020,龙岩华崇信息科技有限公司,其它,67,67,-65.1,0.6,22,0.2,2,203.6,67
2020,龙岩元谱光电科技有限公司,智能制造、先进制造,0,0,0,0,12.9,0,0,0,0
2020,福建龙夏电子科技有限公司,电子信息,90,90,-56,0,17,13,0,0,90
2019,龙岩市海诚信息科技有限公司,电子信息,3.5,6.6,0.1,0,0.1,15,0,0,2
2019,龙岩市启创自动化设备有限公司,电子信息,61.01,61.01,5.88,0.34,20,50,0,0,0
2019,龙岩丽荣电子科技有限公司,电子信息,0,17.41,4.21,0,0,0,0,0,0
2019,龙岩聚达科技有限公司,智能制造、先进制造,20,15,-3,0,12.06,100,7,15,15
2019,龙岩市欣尔科技有限公司,智能环保,20,15,0.1,0,11.06,100,5,12,12
2019,龙岩市龙桥贸易有限公司,其它,255.21,255.21,-45.67,3.55,0,0,0,0,0
2019,福建英创金属分子工程科技有限公司,智能制造、先进制造,2.2,2.2,-24.59,0.07,10.75,30,1,1.5,2.2
2019,福建中微厦林生物技术有限公司,其它,17.48,17.48,-14.17,0,40.79,594,1,0,17.48
2019,龙岩双创知识产权代理有限公司,其它,13.75,13.36,-14.76,0,3.5,0,0,0,9.6
2019,福建杰达环保科技有限公司,智能环保,28.76,28.76,8.63,0,0.74,0,0,0,0
2019,福建省翰晟科技有限公司,电子信息,13.5,13.5,-0.36,0.11,20,3,10,13,13
2019,福建钰辰微电子有限公司,电子信息,3679,2976,715.32,120,178.21,-23,11,1392,3600
2019,龙岩市瑞泽环保科技有限公司,智能环保,134.15,109.94,14.7,0.36,16.93,815,0,0,109.94
2019,福建龙植生物科技有限公司,生物科技,40.01,40.01,9.29,0.01,16.63,132,25,39.99,39.99
2019,福建龙芯北斗科技发展有限公司,其它,0,0,0,0,53.33,8.26,0,0,0
2019,福建高瓴电子有限公司,智能制造、先进制造,14.86,19.15,-143.59,0.02,23.18,35,0,0,19.15
2019,龙岩华崇信息科技有限公司,其它,129.8,129.8,-98,0,38,66,81,135,118
2019,龙岩元谱光电科技有限公司,智能制造、先进制造,0,0,0,0,19.83,0,0,0,0
2019,福建龙夏电子科技有限公司,电子信息,393.9,393.9,-98.7,0,278.8,117.47,22,89.7,393.9
2018,龙岩丽荣电子科技有限公司,电子信息,0,6.8,-21.38,0,0,0,0,0,0
2018,龙岩双创知识产权代理有限公司,其它,67.34,79.13,0.36,2.94,13.37,0,0,0,75.41
2018,福建杰达环保科技有限公司,智能环保,26.22,26.22,5.13,0,20.47,0,0,0,0
2018,龙岩市瑞泽环保科技有限公司,智能环保,125.55,104.29,-38.25,0.08,15.04,78,0,0,104.29
2018,龙岩绿曦农业科技发展有限公司,其它,3.5,23.52,2.17,0.08,2.3,0,0,0,0
2018,龙岩华崇信息科技有限公司,其它,64,64,-29,1,22,530.95,4,64,57
2018,福建龙夏电子科技有限公司,电子信息,377,377,-53,11.81,122,0.15,41,377,377
2017,龙岩丽荣电子科技有限公司,电子信息,0,0,-12.48,0,0,0,0,0,0
2017,龙岩双创知识产权代理有限公司,其它,34.2,33.19,1.11,0.76,10.49,0,0,0,29.94
2017,福建龙夏电子科技有限公司,电子信息,75,75,-26.4,0.03,21,0,5,75,75
2014,龙岩市瑞泽环保科技有限公司,智能环保,28.1,28.1,7.7,0.19,0,0,0,0,0
2013,龙岩市瑞泽环保科技有限公司,智能环保,2.7,2.7,1.3,0.01,0,0,0,0,0
