企业名称,证书名称,证书编号,资质等级,资质状态,资质时效,有效期起,有效期止,权限
龙岩华崇信息科技有限公司,省级高新技术企业,SG20201598,省级,无效,非永久,2020/12/22,2023/12/22,机关可见
龙岩市瑞泽环保科技有限公司,科技型中小企业,2.01935E+17,省级,无效,非永久,2019/3/18,2019/12/31,公开
福建杰达环保科技有限公司,科技型中小企业,2.01935E+17,省级,无效,非永久,2019/3/18,2019/12/31,公开
龙岩华崇信息科技有限公司,国家级高新技术企业,GR202035000514,国级,无效,非永久,2020/12/1,2023/12/1,机关可见
龙岩华崇信息科技有限公司,科技型中小企业,2.02135E+16,国级,无效,非永久,2021/3/15,2021/12/31,机关可见
龙岩元谱光电科技有限公司,科技型中小企业,2.02035E+17,国级,无效,非永久,2019/8/16,2020/12/31,公开
福建省翰晟科技有限公司,科技型中小企业,2.02035E+17,国级,无效,非永久,2020/3/7,2020/12/31,机关可见
福建省华杭生物科技开发有限公司,科技型中小企业,2.02035E+16,省级,无效,非永久,2020/3/15,2020/12/31,公开
龙岩市五环环保设备有限公司,国家级高新技术企业,GR201935000437,国级,有效,非永久,2019/12/2,2022/12/2,公开
龙岩市五环环保设备有限公司,科技型中小企业,2.02035E+17,省级,无效,非永久,2020/4/1,2020/4/1,公开
易之泰生物科技（龙岩）有限公司,科技型中小企业,2.02035E+17,国级,无效,非永久,2020/3/30,2021/3/29,公开
易之泰生物科技（龙岩）有限公司,国家级高新技术企业,GR201935000268,国级,有效,非永久,2019/12/2,2022/12/1,公开
福建龙生生物科技有限公司,科技型中小企业,2.02035E+17,省级,无效,非永久,2020/3/15,2020/12/31,机关可见
福建杰达环保科技有限公司,科技型中小企业,2.02035E+17,省级,有效,永久,2020/3/2,,公开
龙岩市瑞泽环保科技有限公司,科技型中小企业,2.02035E+17,省级,有效,永久,2020/3/2,,公开
福建龙夏电子科技有限公司,国家级高新技术企业,GR201935000224,国级,有效,非永久,2019/12/2,2022/12/3,公开
龙岩丽荣电子科技有限公司,科技型中小企业,2.02035E+17,省级,无效,非永久,2020/3/15,2020/12/31,公开
福建龙植生物科技有限公司,科技型中小企业,2.02035E+17,国级,无效,非永久,2020/3/15,2020/12/31,机关可见
龙岩市五环环保设备有限公司,省级科技小巨人,20160619,省级,无效,非永久,2016/6/19,2020/12/31,公开
福建福科环保科技有限公司,科技型中小企业,2.02035E+17,国级,无效,非永久,2020/4/16,2020/12/31,机关可见
福建龙生生物科技有限公司,国家级高新技术企业,GR101935000392,国级,有效,非永久,2020/1/7,2023/1/7,机关可见
福建龙生生物科技有限公司,科技型中小企业,2.01935E+17,省级,无效,非永久,2019/4/1,2020/4/1,机关可见
龙岩华崇信息科技有限公司,科技型中小企业,2.02035E+17,国级,无效,非永久,2020/3/15,2020/12/31,机关可见
福建福科环保科技有限公司,科技型中小企业,2019350802A0002131,国级,无效,非永久,2019/8/2,2020/3/31,机关可见
福建钰辰微电子有限公司,省级科技小巨人,闽科企金（2019）12号,省级,无效,非永久,2019/7/24,2020/7/23,机关可见
龙岩元谱光电科技有限公司,科技型中小企业,2019350802A0002130,国级,无效,非永久,,,公开
龙岩市华杭生物科技开发有限公司,科技型中小企业,2.01935E+17,国级,无效,非永久,,,公开
福建钰辰微电子有限公司,国家级高新技术企业,GR201735000483,国级,无效,非永久,2017/11/30,2019/11/29,机关可见
福建龙植生物科技有限公司,科技型中小企业,2.01935E+17,国级,无效,非永久,,,公开
福建省华杭生物科技开发有限公司,科技型中小企业,2.01935E+17,省级,无效,非永久,,,公开
福建省华杭生物科技开发有限公司,国家级高新技术企业,GR201735000091,国级,无效,非永久,2017/10/23,2020/10/22,公开
福建省翰晟科技有限公司,科技型中小企业,2.01935E+17,国级,无效,非永久,,,公开
福建心智信息科技股份有限公司,软件企业,闽RQ-2016-0033,省级,无效,非永久,2018/12/11,2019/12/11,机关可见
福建心智信息科技股份有限公司,科技型中小企业,201601-0356,省级,无效,非永久,2016/9/20,2020/9/20,机关可见
福建心智信息科技股份有限公司,国家级高新技术企业,GR201635000323,国级,无效,非永久,2016/12/1,2019/11/30,机关可见
福建龙新三维阵列科技有限公司,科技型中小企业,2.01935E+17,国级,无效,非永久,2019/5/22,2020/5/21,公开
福建钰辰微电子有限公司,科技型中小企业,2.01935E+15,国级,无效,非永久,,,机关可见
龙岩华崇信息科技有限公司,科技型中小企业,2.01935E+17,国级,无效,非永久,,,公开
