:START_ID,:END_ID,:type,article_id,od
福建省,中小企业,在,"1,2,3,4,5,8,14,18,22,29,33,73,76,83,130,282,298,355,372,373,378,391,419,442,461,468,469,472,485,487,514,522,531,533,535,548,639,737,750,789,816,822,823,828,849,888,898",在:福建省:中小企业
中小企业,公共服务平台,在,"1,2,27,33,130,282,472,485,503,726,789,828",在:中小企业:公共服务平台
中小企业,平潭综合实验区,在,2,在:中小企业:平潭综合实验区
福建省,工业和信息化厅,在,"2,4,5,6,7,8,9,10,11,12,14,15,163,316,317,323,328,330,332,333,334,335,336,337,338,340,342,343,344,351,355,360,366,373,375,377,383,388,389,397,406,415,418,420,426,428,434,444,445,451,452,454,456,457,460,463,464,465,466,467,468,469,470,472,473,474,476,477,484,485,489,490,494,505,507,508,516,518,519,520,523,529,530,531,533,536,546,551,560,567,570,571,572,574,577,598,607,614,617,621,628,633,639,640,641,646,648,649,650,651,662,680,707,716,725,726,740,749,750,760,773,774,775,786,789,792,795,796,799,802,817,828,832,841,842,843,851,854,855",在:福建省:工业和信息化厅
习近平,民营（中小）企业,在,"2,828",在:习近平:民营（中小）企业
民营（中小）企业,中小企业,在,2,在:民营（中小）企业:中小企业
省委,省政府,在,"2,24,31,46,58,80,116,145,173,222,236,239,240,256,258,267,275,277,282,288,291,318,357,418,446,458,460,475,478,490,506,523,528,529,536,551,554,556,557,558,560,566,570,572,577,578,585,586,589,590,594,596,597,599,606,657,673,679,680,726,733,742,743,752,756,757,765,780,790,791,817,824,828,849,854,855,860,862,872,879,885,892,902,903",在:省委:省政府
省政府,中小企业,在,"2,148,282,348,527,828,849",在:省政府:中小企业
中小企业,民营企业,在,"2,273,726,817",在:中小企业:民营企业
民营企业,政策宣贯工作,在,2,在:民营企业:政策宣贯工作
政策宣贯工作,惠企政策入百园进万企,在,2,在:政策宣贯工作:惠企政策入百园进万企
惠企政策入百园进万企,培训,在,2,在:惠企政策入百园进万企:培训
国有企业,民营企业,在,"2,273,478,531,687,809,838",在:国有企业:民营企业
民营企业,中小企业,在,"2,273,418,531,606,809,817",在:民营企业:中小企业
中小企业,账款,在,"2,282,378,469,503,531,536,540,585,809,828",在:中小企业:账款
民营（中小）企业,生产经营,在,"2,828",在:民营（中小）企业:生产经营
生产经营,发展法规政策体系,在,"2,828",在:生产经营:发展法规政策体系
产融合作工作协调机制作用，组织举办“政基企”、“政银企,融资,在,2,在:产融合作工作协调机制作用，组织举办“政基企”、“政银企:融资
融资,金融机构,在,"2,26,469,838",在:融资:金融机构
金融,中小企业,在,"2,73,282,468,472,527,789",在:金融:中小企业
账款,融资,在,"2,4,282,298,314,315,458,469,503,540,585,726,790,828,908",在:账款:融资
福州,厦门火炬高新区,在,"2,237,828",在:福州:厦门火炬高新区
厦门火炬高新区,乐经开区,在,"2,828",在:厦门火炬高新区:乐经开区
乐经开区,闽北经开区,在,"2,828",在:乐经开区:闽北经开区
闽北经开区,双创,在,"2,828",在:闽北经开区:双创
公共服务平台,示范基地,在,"2,828",在:公共服务平台:示范基地
示范基地,中小微企业,在,"2,828",在:示范基地:中小微企业
中小微企业,服务券试点工作,在,"2,828",在:中小微企业:服务券试点工作
民营企业,三个一百”活动，深化全系统“百千万,在,2,在:民营企业:三个一百”活动，深化全系统“百千万
进口税收政策,进口税收政策，加强政府采购,在,2,在:进口税收政策:进口税收政策，加强政府采购
进口税收政策，加强政府采购,中小企业,在,2,在:进口税收政策，加强政府采购:中小企业
中小企业,落实情况,在,2,在:中小企业:落实情况
省级财政,创新券资金,在,2,在:省级财政:创新券资金
创新券资金,生产力,在,2,在:创新券资金:生产力
金融,专利权,在,2,在:金融:专利权
专利权,贴息政策,在,2,在:专利权:贴息政策
贴息政策,中小微企业,在,2,在:贴息政策:中小微企业
中小微企业,贷款,在,"2,273,280,536,560,585,839",在:中小微企业:贷款
普惠金融发展资金,融资,在,2,在:普惠金融发展资金:融资
融资,担保资金政策,在,2,在:融资:担保资金政策
担保资金政策,小微农,在,2,在:担保资金政策:小微农
小微农,融资,在,2,在:小微农:融资
省商务厅,电子商务进农村综合示范创建和现代供应链体系建设等工作，发挥财政资金,在,2,在:省商务厅:电子商务进农村综合示范创建和现代供应链体系建设等工作，发挥财政资金
企业债券,贴息政策,在,2,在:企业债券:贴息政策
贴息政策,贴息政策，推动符合条件的企业发债,在,2,在:贴息政策:贴息政策，推动符合条件的企业发债
贴息政策，推动符合条件的企业发债,融资,在,2,在:贴息政策，推动符合条件的企业发债:融资
企业债券,风险,在,2,在:企业债券:风险
风险,风险应急处置预,在,2,在:风险:风险应急处置预
