sentence,entity,compare,num
0#申报条件,(申报)条件,,
0#按照分类指导、分层推动的原则,(指导、分层推动的)原则,,
0#将申报企业分为省重点上市后备企业和具备科创板上市潜力企业进行管理,(申报)企业、省、(后备)企业、(具备科创板上市潜力)企业,,
0#根据企业意愿、条件和上市进程,(企业)意愿、条件、(上市)进程,,
0#可同时申报省重点上市后备企业和具备科创板上市潜力企业,省、(后备)企业、企业,,
0#申报企业应具备以下条件：基本条件：注册地在福建,(申报)企业、(以下)条件、(基本)条件、注册地、福建,,
0#依法成立,,,
0#存续期满两年的股份有限公司或有限责任公司,存续、(期满两年的)股份有限公司、有限责任公司,,两年
0#法人治理结构健全,(法人治理)结构,,
0#经营合法合规,,,
0#信用记录良好,信用,,
0#近两年无重大违法违规行为,近两年,,
0#主营业务符合国家产业政策,(主营业务)符合国家、产业政策,,
0#鼓励推荐符合条件的战略性新兴产业（包括新一代信息技术、新材料、新能源、新能源汽车、节能环保、生物医药、高端装备制造、海洋高新产业等）、金融服务业、文化创意等行业企业,(推荐符合条件的战略性)新兴产业、(战略性)新兴产业、(包括新一代信息技术、新材料、新能源、新能源汽车、节能环保、生物医药、高端装备制造、海洋高新产业等）、金融服务业、文化创意等行业)企业、(新)材料、新能源、(新能源)汽车、生物医药、(高端)装备、(海洋)高新、产业、(金融)服务业、(文化)创意、(行业)企业,,
0#省重点上市后备企业应满足以下条件之一：最近两年连续盈利,省、(后备)企业、(以下)条件、最近,,两年
0#累计净利润不少于800万元,(累计)净利润,不少于,不少、800万元
0#或最近一年盈利,(最近)一年、盈利,,
0#净利润不少于400万元,净利润,不少于,不少、400万元
0#最近一年营业收入不少于4000万元（净利润以扣除非经常性损益前后孰低者为计算依据）,(最近)一年、营业收入、净利润、前后、依据,不少于,不少、4000万元
0#最近两年营业收入连续增长,(最近)两年、营业收入,,
0#平均营业收入不低于3000万元,(平均)营业收入,不低于,3000万元
0#上年度纳税额不低于500万元,(上)年度、纳税额,不低于,500万元
0#或最近三年平均纳税额不低于300万元（享受税收优惠的企业减免部分需另行备注,(最近)三年、(平均)纳税额、税收、(优惠的)企业,不低于,300万元、部分
0#可以合并计算）,,,
0#具备科创板上市潜力企业应满足以下条件之一：预计市值不低于人民币5亿元,(具备科创板上市潜力)企业、(以下)条件、(预计)市值、人民币,不低于,5亿元
0#最近两年净利润为正,(最近)两年、净利润,,
0#累计营业收入不低于人民币2500万元,(累计)营业收入、人民币,不低于,2500万元
0#或者预计市值不低于人民币5亿元,(预计)市值、人民币,不低于,5亿元
0#最近一年净利润为正,(最近)一年、净利润,,
0#营业收入不低于人民币5000万元,营业收入、人民币,不低于,5000万元
0#预计市值不低于人民币5亿元,(预计)市值、人民币,不低于,5亿元
0#最近一年营业收入不低于人民币1亿元,(最近)一年、营业收入、人民币,不低于,1亿元
0#最近三年累计研发投入占最近三年累计营业收入的比例不低于15%,(最近)三年、(占最近三年累计营业收入的)比例,不低于,15%
0#预计市值不低于人民币10亿元,(预计)市值、人民币,不低于,10亿元
0#最近一年营业收入不低于人民币5亿元,(最近)一年、营业收入、人民币,不低于,5亿元
0#最近三年经营活动产生的现金流量净额累计不低于人民币5000万元,(最近)三年、(产生的现金流量)净额、(现金流量)净额、累计、人民币,不低于,5000万元
0#预计市值不低于人民币15亿元,(预计)市值、人民币,不低于,15亿元
0#最近一年营业收入不低于人民币5亿元,(最近)一年、营业收入、人民币,不低于,5亿元
0#预计市值不低于人民币20亿元,(预计)市值、人民币,不低于,20亿元
0#主要业务或产品需经国家有关部门批准,(主要)业务、产品、(国家有关)部门,,
0#市场空间大,(市场)空间,,
0#目前已取得阶段性成果,目前、(阶段性)成果,,
0#医药行业企业需至少有一项核心产品获准开展二期临床试验,(医药行业)企业、(一项)核心、产品,,一项核心、二期
0#其他符合科创板定位的企业需具备明显的技术优势并满足相应条件,(科创板定位的)企业、(明显的技术)优势、(技术)优势、(相应)条件,,
0#鼓励满足以下条件之一的企业申报具备科创板上市潜力企业：最近三年研发投入占营业收入比例5%以上,(以下)条件、(企业申报具备科创板上市潜力)企业、(最近)三年、(营业收入)比例、以上,,
0#或最近三年研发投入金额累计在6000万元以上,(最近)三年、金额,,6000万元以上
0#形成主营业务收入的发明专利5项以上,(主营)业务收入、发明专利、以上,,5项
0#最近三年营业收入复合增长率达到20%,(最近)三年、(营业)收入、增长率,,20%
0#或最近一年营业收入金额达到3亿元,(最近)一年、金额,,3亿元
2#申报主体,主体,,
2#符合以下条件之一的汽车生产和销售企业可申请补助：福州市辖区内已列入工信部《道路机动车辆生产企业及产品公告》的新能源汽车生产企业,(以下)条件、(汽车生产和销售)企业、(福州市)辖区、内、(列入工信部《道路机动车辆生产企业及产品公告》的新能源汽车生产)企业、(道路)机动车辆、(产品)公告、(新能源)汽车、(生产)企业,,
2#非辖区内新能源汽车生产企业在我市注册登记具有独立法人资格的新能源汽车销售企业,(非辖区)内、企业、(注册登记具有独立法人资格的新能源汽车销售)企业、(具有独立法人资格的新能源汽车销售)企业、(新能源)汽车、(销售)企业,,
2#申报条件申报企业信用良好,(申报)条件、企业信用,,
2#无不良记录,(不良)记录,,
2#2017年销售的新能源汽车需与中央财政清算,2017年、(销售的新能源)汽车、(新能源)汽车、中央财政,,
2#并享受中央财政补助资金,(中央财政补助)资金,,
2#补助标准,(补助)标准,,
2#根据《福建省经济和信息化委员会,福建省经济和信息化委员会,,
2#福建省财政厅关于2017-2020年新能源汽车推广应用补助办法的通知》（闽经信函装备〔2018〕482号）精神,(福建省财政厅关于2017-2020年新能源汽车推广应用补助办法的)通知、(通知》（闽经信函装备〔2018〕482号）)精神、(闽经信函装备〔2018〕482号）)精神,,2018、482号
2#对辖区内推广的新能源汽车给予同期国补15%的地方补助,(辖区)内、(推广的新能源)汽车、(新能源)汽车、同期、(国补15%的地方)补助、(地方)补助,,15%
3#申报条件,(申报)条件,,
3#申报留学人员回国创业启动支持计划需同时具备以下条件：,(申报留学)人员、(支持)计划、(以下)条件,,
3#申报人应为所创办企业的法定代表人,申报人、(应为所创办企业的法定代表)人、(创办)企业、(法定代表)人,,
3#在国（境）外获得硕士或博士学位,(国（境）)外、硕士、博士学位,,
3#或具有一年以上博士后工作经历,(一年)以上、博士后、经历,,
3#拥有自主知识产权,(自主)知识产权,,
3#技术创新性强,技术创新,,
3#具有较强市场潜力,市场潜力,,
3#熟悉相关领域和国际规则,(相关)领域、(国际)规则,,
3#具有较强的经营管理能力,(强的经营管理)能力、(经营管理)能力,,
3#有海外自主创业经验者优先考虑,经验,,
3#企业注册时间不早于2018年1月1日,(企业注册)时间、(早于)2018年1月1日,,
3#申报人出资额占企业注册资本的50%以上,(申报人)出资额、(企业)注册资本、(50%)以上,,50%以上
3#申报人现已全职回国,申报人、全职,,
3#在海外无工作,海外,,
3#已获得博士后创新人才支持计划、中国科协青年人才托举工程和其他国家级人才项目资助的留学回国人员不纳入本计划资助范围,(博士后创新)人才、计划、(中国科协)青年、人才、(托举)工程、(其他国家级人才)项目、(资助的留学回国)人员、(留学回国)人员、(本)计划、范围,,
3#本计划往年入选人员不再重复支持,(本)计划、人员,,
3#申报人不得在多个地区同时申报,申报人、(多个)地区,,多个地区
3#2021年,2021年,,
3#本计划将聚焦国家重大战略领域,(本)计划、(国家重大战略)领域,,
3#资助优秀留学人员创办企业,(优秀)留学人员、企业,,
3#加大对西部和东北地区留学回国人员创业的支持力度,西部、东北地区、(留学回国)人员、力度,,
3#对省部共建留学人员创业园内的创业企业予以适当倾斜,(省)部、(共建留学人员创业)园内、(创业)园内、(创业)企业,,
4#培训对象,(培训)对象,,
4#各县（市、区）、市本级三大产业组团工信主管部门分管人事人才工作领导和业务经办人员、企业有关负责人等（详见附件1）,(各县（市、区）、市本级三大)产业、工、(主管部门分管人事人才工作)领导、(工作)领导、(业务)经办人员、企业、(有关)负责人、附件,,三大、1
5#遴选目标,(遴选)目标,,
5#通过支持一批高技术、高成长、强引领的团队,团队,,一批
5#培育出一批实体经济“单项冠军”“专精特新”企业,(培育出一批实体经济“单项)冠军、(单项)冠军、(新”)企业,,一批
5#引领产业集群发展,产业,,
5#本次遴选的团队,团队,,
5#其所在企业一般应为初创期或成长期的中小企业,(其所在)企业、初创期、成长期,,
5#遴选名额,(遴选)名额,,
5#本次计划遴选不超过20个产业领军团队,(本次)计划、团队,,20个
5#原则上全省入选的团队中,原则上、全省、(入选的)团队、(团队)中,,
5#厦门不高于10%,厦门,不高于,10%
5#龙岩、三明、南平、宁德和平潭的总量不低于20%,(龙岩、三明、南平、宁德和平潭的)总量,不低于,三明、20%
5#资格条件,(资格)条件,,
