num,sentence,entity,compare,num
0,申报条件及补助标准,(申报)条件、(补助)标准,,
0,组织5家以上（含5家）在福州注册登记的制造业企业参加全国性、区域性的大型专业展会（广交会除外）,以上、福州、(注册登记的制造业)企业、(制造业)企业、(参加全国性、区域性的大型专业)展会、(大型专业)展会,,5家、5家以上（含5家
0,给予抱团参展企业展位费不高于80%的补助,(参展)企业、(展位)费,不高于,80%
0,给予牵头单位不高于展位费总额20%的组织管理费补助,(牵头)单位、(展位费)总额、管理费、补助,不高于,20%
0,每家企业单次展会展位费补助不超过5万元,(每家)企业、费、补助,不超过,5万元
0,全年度奖励累计不超过30万元,全年度、(奖励)累计,不超过,30万元
0,牵头单位组织管理费年度补助最高不超过30万元,(单位)组织、补助、最高,不超过,30万元
2,申报条件,(申报)条件,,
2,申报企业具有独立法人资格,(申报)企业、(独立)法人资格,,
2,注册地、税务登记和经营场所均在厦门,注册地、税务、经营场所、厦门,,
2,注册时间一年以上（2020年1月1日前注册）,(注册)时间、以上、(2020年1月1日)前,,
2,申报企业运营、财务状况良好,企业、财务状况,,
2,财务管理制度健全,(财务管理)制度,,
2,无违法违规行为、无知识产权争议,无知识产权,,
2,在质量、安全、信誉和社会责任等方面无不良记录,(质量、安全、信誉和社会责任等)方面、(社会)责任、方面、(不良)记录,,
6,申报条件,(申报)条件,,
6,企业在福州市行政区域内注册,企业、(福州市)行政区域、内,,
6,具有独立的法人资格,法人资格,,
6,报告期年度企业盈利,(报告期年度)企业、盈利,,
6,企业在行业中具有较好的发展优势和竞争优势,企业、(行业)中、优势、(竞争)优势,,
6,具有较强创新能力和较高创新水平,(强)创新能力、(较高创新)水平,,
6,企业具有较好的技术创新动力机制和运行机制,企业、(好的技术创新动力)机制、(技术创新)动力、机制、运行机制,,
6,技术中心组织体系健全,(技术)中心、体系,,
6,创新效率和效益显著,(创新)效率、效益,,
6,技术中心必须有专属空间,(技术)中心、(专属)空间,,
6,具有比较完善的研究、开发、实验条件,条件,,
6,技术开发仪器设备原值不低于400万元（软件企业不低于300万元）,(技术开发)仪器设备、原值、(软件)企业,不低于、不低于,400万元、300万元
6,原则上计入技术中心账户上的技术开发仪器设备原值50%以上应集中在技术中心场地内使用,原则上、(技术)中心、(技术开发仪器设备)原值、以上、(技术)中心、内,,
6,企业有较高的研究开发投入,企业,,
6,报告期年度研究与试验发展经费（简称研发经费）支出额占主管业务收入比重按照企业规模划分为3档：主营业务收入10亿元及以上的企业为0%,(报告期)年度、(发展)经费、(研发)经费、支出额、(主管)业务收入、比重、(企业)规模、(主营)业务收入、以上、企业,,3档、10亿元、0%
6,"主营业务收入2-10亿元（含2亿元）的企业为5%,主营业务收入2亿元以下的企业为0%",(主营)业务收入、(含2亿元）的)企业、(主营)业务收入、企业,,2、10亿元、2-10亿元（含2亿元、5%、2-10亿元（含2亿元、0%
6,不低于400万元（软件企业不低于500万元）,(软件)企业,不低于,400万元、500万元
6,企业拥有技术水平高、实践经验丰富的技术带头人,企业、(技术水平高、实践经验丰富的技术)带头人、(技术)带头人,,
6,专职研究与试验发展人员数不少于25人,(专职研究与试验发展)人员、(发展)人员、数、(25)人,不少于,数、不少、
6,企业有较为健全的财务管理体系,企业、(健全的财务管理)体系、(财务管理)体系,,
6,技术中心需独立建帐核算,(技术)中心,,
6,企业在申请受理截止日期前三年内,企业、(日期)前、内,,
6,无不良信用记录,(不良)信用,,
9,申报要求,(申报)要求,,
9,产学研专项,,,
9,支持重点与补助标准,(补助)标准,,
9,企业与境内外高校、科研院所围绕战略性新兴产业培育需求,企业、境内外、科研院所、(战略性)新兴产业、需求,,
9,以突破重大产品的关键核心技术和实现产业化为目标,(重大)产品、(关键)核心技术、目标,,
9,围绕传统产业转型升级需求,传统产业、需求,,
9,采用高新技术改造传统产业,高新技术、传统产业,,
9,开发新技术、新产品,(开发新)技术、(新)产品,,
9,所实施的联合技术攻关、科技成果转化项目,(实施的联合)技术、(联合)技术、科技成果、(转化)项目,,
9,对已实现产业化的联合开发项目,(产业化的联合开发)项目、(联合开发)项目,,
9,企业支付给高等院校、科研院所的技术开发合作费用达20万元（含）以上的,(企业支付给高等院校、科研院所的技术开发合作)费用、(技术开发合作)费用、以上,,20万元
9,按照支付金额的50%对企业给予补助,(支付金额的50%对)企业、(50%对)企业,,50%对企业
9,单个企业最高补助50万元,(单个)企业、补助,,50万元
9,申报条件,(申报)条件,,
9,（1）项目申报单位为福州行政辖区内注册、具有独立法人资格的工业和信息化企业,(项目申报)单位、(福州行政)辖区、内、(注册、具有独立法人资格的)工业、(独立)法人资格、工业、(信息化)企业,,1
9,具有较强的技术开发和项目实施能力,(强的)技术开发、(技术开发和项目实施)能力、(实施)能力,,
9,（2）项目应符合国家产业政策,项目、(符合国家)产业政策,,2
9,具有创新性,创新性,,
9,涉及的知识产权归属明晰,(涉及的)知识产权,,
9,能有效带动相关产业转型升级和战略性新兴产业发展,(相关)产业、(战略性)新兴产业,,
9,符合战略性新兴产业与高技术产业分类的项目优先,(战略性)新兴产业、(高技术)产业、(分类的)项目,,
9,（3）项目由企业与高等院校、科研院所共同承担,项目、企业、高等院校、科研院所,,3
9,联合开展实质性的技术开发合作,实质性、技术开发,,
9,并已签订规范技术合同（合同需明确各自承担的任务、研发经费投入比例、研究成果归属、项目起止年限等内容）,(规范技术)合同、合同、(承担的)任务、(研发)经费、(比例、研究成果归属、项目起止年限等)内容、(项目起止)年限、内容,,
9,（4）项目应于2020年度完成并实现项目产品产业化及销售收入,项目、(2020)年度、(项目)产品、销售收入,,4、2020年度
9,支付给高等院校或科研院所的产学研合作费用不低于20万元（含）,(给高等院校或科研院所的产学研合作)费用,不低于,20万元
9,项目执行期一般不超过3年,(项目)执行期、一般、3年,不超过,
9,申报材料,申报材料,,
9,（1）信用承诺书,(1）信用)承诺书、(信用)承诺书,,1）信用承诺书
9,（2）2021年产学研联合开发项目申报表,(2）2021年产学研联合开发项目)申报表,,2）2021年产学研联合开发项目申报表、
9,（3）产学研项目资金申请报告,(3）产学研项目资金)申请报告、(产学研)项目、申请报告,,3）产学研项目资金申请报告
9,（4）申报单位营业执照复印件,(4）申报单位营业执照)复印件、(申报)单位、复印件,,4）申报单位营业执照复印件
