word,label
将,O
符,O
合,O
条,O
件,O
的,O
创,O
业,O
孵,O
化,O
基,O
地,O
运,O
营,O
主,O
体,O
纳,O
入,O
小,B-Org
微,I-Org
企,I-Org
业,E-Org
创,O
业,O
担,O
保,O
贷,B-Eve
款,E-Eve
对,O
象,O
范,O
围,O
推,O
进,O
高,B-Org
校,E-Org
、,O
行,O
业,O
企,O
业,O
共,O
建,O
大,B-Per
学,I-Per
生,E-Per
创,O
新,O
创,O
业,O
基,O
地,O
，,O
建,O
设,O
一,O
批,O
省,O
级,O
“,O
双,B-Eve
创,E-Eve
”,O
示,O
范,O
园,O
支,O
持,O
企,O
业,O
设,O
立,O
海,B-Org
外,I-Org
分,I-Org
支,I-Org
机,I-Org
构,E-Org
、,O
有,O
序,O
开,O
展,O
境,O
外,O
并,O
购,O
，,O
申,O
请,O
国,B-Eve
际,I-Eve
认,I-Eve
证,E-Eve
、,O
商,O
标,O
注,O
册,O
，,O
充,O
分,O
发,O
挥,O
香,O
港,O
国,O
际,O
贸,O
易,O
中,O
心,O
的,O
作,O
用,O
，,O
加,O
强,O
闽,O
港,O
服,O
务,O
贸,O
交,O
流,O
合,O
作,O
，,O
不,O
断,O
拓,O
展,O
“,O
一,B-Eve
带,I-Eve
一,I-Eve
路,E-Eve
”,O
沿,O
线,O
国,O
家,O
服,B-Eve
务,I-Eve
贸,I-Eve
易,E-Eve
市,O
场,O
空,O
间,O
省,O
民,O
政,O
、,O
林,O
业,O
、,O
文,O
旅,O
、,O
体,O
育,O
、,O
粮,O
储,O
等,O
行,O
业,O
主,O
管,O
部,O
门,O
要,O
加,O
强,O
对,O
所,O
属,O
职,B-Org
业,I-Org
院,I-Org
校,E-Org
产,B-Eve
教,I-Eve
融,I-Eve
合,E-Eve
的,O
统,O
筹,O
管,O
理,O
与,O
监,O
督,O
年,O
开,O
展,O
创,B-Per
业,I-Per
致,I-Per
富,I-Per
带,I-Per
头,I-Per
人,E-Per
认,O
定,O
，,O
完,O
成,O
创,B-Per
业,I-Per
致,I-Per
富,I-Per
带,I-Per
头,I-Per
人,E-Per
人,O
，,O
完,O
成,O
建,B-Per
档,I-Per
立,I-Per
卡,I-Per
贫,I-Per
困,I-Per
户,E-Per
培,B-Eve
训,E-Eve
人,O
对,O
需,O
报,O
请,O
国,O
家,O
审,B-Eve
批,E-Eve
的,O
事,O
项,O
，,O
要,O
及,O
时,O
审,B-Eve
核,E-Eve
转,O
报,O
，,O
做,O
好,O
汇,O
报,O
沟,O
通,O
和,O
跟,O
踪,O
促,O
批,O
工,O
作,O
，,O
争,O
取,O
尽,O
快,O
获,O
批,O
高,B-Org
校,E-Org
、,O
科,O
研,O
机,O
构,O
应,O
加,O
入,O
省,O
大,O
型,O
科,O
研,O
设,O
施,O
仪,O
器,O
管,O
理,O
服,O
务,O
平,O
台,O
，,O
同,O
时,O
鼓,O
励,O
企,O
业,O
加,O
入,O
平,O
台,O
，,O
推,O
动,O
共,O
享,O
人,B-Per
才,E-Per
智,O
力,O
、,O
仪,O
器,O
设,O
备,O
、,O
实,O
验,O
平,O
台,O
等,O
创,O
新,O
资,O
源,O
大,O
力,O
发,O
展,O
科,O
技,O
型,O
小,B-Org
微,I-Org
企,I-Org
业,E-Org
，,O
培,O
育,O
新,O
业,O
态,O
新,O
模,O
式,O
，,O
带,O
动,O
更,O
多,O
高,B-Org
校,E-Org
毕,O
业,O
生,O
